Date,Business
1998M09,6387
1998M10,6798
1998M11,7068
1998M12,5682
1999M01,5454
1999M02,6972
1999M03,6697
1999M04,6009
1999M05,6210
1999M06,5686
1999M07,6010
1999M08,6238
1999M09,6847
1999M10,7266
1999M11,7877
1999M12,6585
2000M01,6214
2000M02,8169
2000M03,7253
2000M04,5591
2000M05,5734
2000M06,5527
2000M07,6122
2000M08,6116
2000M09,5614
2000M10,6322
2000M11,6877
2000M12,6150
2001M01,5956
2001M02,7473
2001M03,7336
2001M04,6340
2001M05,6871
2001M06,6495
2001M07,6268
2001M08,6591
2001M09,6599
2001M10,6975
2001M11,8134
2001M12,7215
2002M01,6845
2002M02,8528
2002M03,8031
2002M04,6979
2002M05,6569
2002M06,6594
2002M07,6779
2002M08,7084
2002M09,7419
2002M10,8266
2002M11,8988
2002M12,7659
2003M01,8098
2003M02,10110
2003M03,9613
2003M04,8247
2003M05,7582
2003M06,7210
2003M07,6940
2003M08,7067
2003M09,6916
2003M10,7549
2003M11,8396
2003M12,6544
2004M01,6356
2004M02,8724
2004M03,8199
2004M04,6833
2004M05,7120
2004M06,6793
2004M07,6932
2004M08,7270
2004M09,7520
2004M10,7770
2004M11,8583
2004M12,7126
2005M01,6665
2005M02,8910
2005M03,8834
2005M04,8127
2005M05,7762
2005M06,7652
2005M07,7403
2005M08,7968
2005M09,8345
2005M10,8553
2005M11,8880
2005M12,8331
2006M01,8669
2006M02,10506
2006M03,10384
2006M04,9228
2006M05,8931
2006M06,8106
2006M07,7587
2006M08,7943
2006M09,7980
2006M10,8437
2006M11,9592
2006M12,8348
2007M01,8649
2007M02,10088
2007M03,9908
2007M04,8332
2007M05,8533
2007M06,7894
2007M07,7605
2007M08,7787
2007M09,7370
2007M10,7669
2007M11,8629
2007M12,7713
2008M01,8290
2008M02,10242
2008M03,9126
2008M04,8914
2008M05,8090
2008M06,7752
2008M07,7498
2008M08,7891
2008M09,7737
2008M10,8086
2008M11,8927
2008M12,7896
2009M01,8275
2009M02,9783
2009M03,9555
2009M04,8031
2009M05,7419
2009M06,6944
2009M07,7243
2009M08,7227
2009M09,7078
2009M10,7602
2009M11,8477
2009M12,7701
2010M01,7628
2010M02,9159
2010M03,9960
2010M04,8448
2010M05,8260
2010M06,7491
2010M07,7535
2010M08,7787
2010M09,7671
2010M10,8037
2010M11,8554
2010M12,7400
2011M01,7105
2011M02,9481
2011M03,8803
2011M04,7251
2011M05,6956
2011M06,6534
2011M07,6793
2011M08,7320
2011M09,7664
2011M10,7973
2011M11,8193
2011M12,7180
2012M01,6913
2012M02,8938
2012M03,9118
2012M04,7937
2012M05,8068
